,"Прізвище, ім`я та по батькові кандидата в депутати",Передвиборна програма,Основні відомості,Округ,Наявність(відсутність) заборгованості зі сплати аліментів,Дата та підстава скасування реєстрації кандидата,Дата реєстрації кандидатом,Висування,Область
1210,КрамаренкоВікторія Вікторівна,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=18464pd410f01=27.doc,"народилася 2 травня 1966 року в місті Києві, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, заступник головного лікаря з питань медсестринства, Київська міська клінічна лікарня № 2, член ПОЛІТИЧНОЇ ПАРТІЇ ""ГРОМАДЯНСЬКИЙ РУХ ""ХВИЛЯ"", проживає в місті Києві, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДЯНСЬКИЙ РУХ ""ХВИЛЯ"".",Одномандатний виборчий округ №95,-, ,22.06.2019,"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДЯНСЬКИЙ РУХ ""ХВИЛЯ""",Київська область
1211,КучерВ’ячеслав Анатолійович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19885pd410f01=27.doc,"народився 30 серпня 1975 року в місті Севастополі, Крим, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасовий виконувач обов’язків голови, Київська обласна державна адміністрація, безпартійний, проживає в селі Дмитрівка Києво-Святошинського району Київської області, судимість відсутня, самовисування.",Одномандатний виборчий округ №95,-, ,25.06.2019,Самовисування,Київська область
1212,ЛаскінПавло Павлович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21476pd410f01=27.doc,"народився 8 вересня 1961 року в місті Львові, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член Політичної партії ""Партія місцевого самоврядування"", проживає в селі Згурівка Згурівського району Київської області, судимість відсутня, суб’єкт висування – Політична партія ""Партія місцевого самоврядування"".",Одномандатний виборчий округ №95,-, ,25.06.2019,"Політична партія ""Партія місцевого самоврядування""",Київська область
1213,ЛіщинськаЛариса Юріївна,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=20463pd410f01=27.doc,"народилася 21 червня 1976 року в місті Києві, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, помічник-консультант народного депутата України, безпартійнa, проживає в селі Горенка Києво-Святошинського району Київської області, судимість відсутня, самовисування.",Одномандатний виборчий округ №95,-, ,25.06.2019,Самовисування,Київська область
1214,ЛяшенкоМикола Миколайович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15857pd410f01=27.doc,"народився 15 червня 1977 року в місті Липовець Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, виконувач обов’язків генерального директора, державне підприємство ""Інноваційні-інжинірингові технології"", безпартійний, проживає в місті Вишневе Києво-Святошинського району Київської області, судимість відсутня, самовисування.",Одномандатний виборчий округ №95,-, ,17.06.2019,Самовисування,Київська область
1215,МазурІгор Петрович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=20822pd410f01=27.doc,"народився 18 березня 1973 року в селі Пирогівці Хмельницького району Хмельницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, член ПОЛІТИЧНОЇ ПАРТІЇ ""УНА-УНСО"", проживає в місті Ірпінь Київської області, судимість відсутня, самовисування.",Одномандатний виборчий округ №95,-, ,25.06.2019,Самовисування,Київська область
1216,МакеєваАнжела Георгіївна,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19867pd410f01=27.pdf,"народилася 13 грудня 1987 року в місті Києві, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, член Виконавчого комітету, відділення НОК України у Київській області, безпартійнa, проживає в місті Києві, судимість відсутня, самовисування.",Одномандатний виборчий округ №95,-, ,22.06.2019,Самовисування,Київська область
1217,НагребельнийАндрій Олегович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=18876pd410f01=27.doc,"народився 8 серпня 1978 року в місті Києві, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""Професійний бійцівський союз"", безпартійний, проживає в місті Києві, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".",Одномандатний виборчий округ №95,-, ,24.06.2019,"політична партія Всеукраїнське об’єднання ""Батьківщина""",Київська область
1218,НемировськийАндрій Валентинович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=18481pd410f01=27.doc,"народився 23 вересня 1983 року в місті Херсоні, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.",Одномандатний виборчий округ №95,-, ,22.06.2019,Самовисування,Київська область
1219,ОвчаренкоМаргарита Юріївна,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=20347pd410f01=27.doc,"народилася 15 липня 1994 року в місті Черкасах, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійнa, проживає в місті Києві, судимість відсутня, самовисування.",Одномандатний виборчий округ №95,-, ,23.06.2019,Самовисування,Київська область
1220,ПовчВасиль Олегович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21415pd410f01=27.doc,"народився 22 серпня 1994 року в селі Великі Лучки Мукачівського району Закарпатської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійний, проживає в місті Ірпінь Київської області, судимість відсутня, суб’єкт висування – Політична Партія ""ПАТРІОТ"".",Одномандатний виборчий округ №95,-, ,25.06.2019,"Політична Партія ""ПАТРІОТ""",Київська область
1221,ПодашевськаТетяна Леонтіївна,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19569pd410f01=27.doc,"народилася 28 грудня 1958 року в селі Краснопілка Маловисківського району Кіровоградської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, доцент кафедри зв’язків з громадськістю і журналістики, Київський національний університет культури і мистецтва, член Політичної партії ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"", проживає в місті Вишгород Вишгородського району Київської області, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"".",Одномандатний виборчий округ №95,-, ,24.06.2019,"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",Київська область
1222,Скорик-ШкарівськаМихайлина Михайлівна,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17034pd410f01=27.doc,"народилася 27 березня 1979 року в місті Дніпропетровську, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійнa, проживає в місті Ірпінь Київської області, судимість відсутня, суб’єкт висування – Політична Партія ""ГОЛОС"".",Одномандатний виборчий округ №95,-, ,19.06.2019,"Політична Партія ""ГОЛОС""",Київська область
1223,СмірноваМарина Михайлівна,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15393pd410f01=27.doc,"народилася 15 березня 1986 року в місті Боярка Київської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, начальник, структурний підрозділ Центр надання адміністративних послуг виконавчого комітету Вишневої міської ради Києво-Святошинського району Київської області, безпартійнa, проживає в місті Боярка Києво-Святошинського району Київської області, судимість відсутня, самовисування.",Одномандатний виборчий округ №95,-, ,14.06.2019,Самовисування,Київська область
1224,СмірноваМирослава Михайлівна,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19914pd410f01=27.doc,"народилася 22 сiчня 1984 року в місті Христинівка Черкаської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, голова, Києво-Святошинська районна державна адміністрація Київської області, безпартійнa, проживає в селі Крюківщина Києво-Святошинського району Київської області, судимість відсутня, суб’єкт висування – Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"".",Одномандатний виборчий округ №95,-, ,23.06.2019,"Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",Київська область
1225,СупруновВадим Вячеславович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19592pd410f01=27.doc,"народився 4 жовтня 1974 року в селищі Калкаман Єрмаківського району Павлодарської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, генеральний директор, ТОВ ""Проміструм"", член політичної партії ""Громадянська позиція"", проживає в місті Боярка Києво-Святошинського району Київської області, судимість відсутня, самовисування.",Одномандатний виборчий округ №95,-, ,22.06.2019,Самовисування,Київська область
1226,ТиговОлександр Олександрович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=20836pd410f01=27.doc,"народився 31 жовтня 1971 року в місті Дніпропетровську, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""Біг проджект"", безпартійний, проживає в селі Святопетрівське Києво-Святошинського району Київської області, судимість відсутня, самовисування.",Одномандатний виборчий округ №95,-, ,23.06.2019,Самовисування,Київська область
1227,ТитикалоРоман Сергійович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17984pd410f01=27.doc,"народився 21 травня 1982 року в місті Києві, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, керуючий бюро – адвокат, адвокатське бюро ""Титикало та партнери"", безпартійний, проживає в місті Києві, судимість відсутня, самовисування.",Одномандатний виборчий округ №95,-, ,22.06.2019,Самовисування,Київська область
1228,Хом’якДмитро Юрійович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=20371pd410f01=27.doc,"народився 5 травня 1986 року в місті Києві, громадянин України, протягом останніх п’яти років проживає на території України, освіта загальна середня, фізична особа – підприємець, безпартійний, проживає в місті Києві, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""НАША ЗЕМЛЯ"" .",Одномандатний виборчий округ №95,-, ,24.06.2019,"ПОЛІТИЧНА ПАРТІЯ ""НАША ЗЕМЛЯ"" ",Київська область
1229,ЯнченкоАндрій Васильович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=18870pd410f01=27.doc,"народився 19 серпня 1981 року в місті Києві, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""Хайт і партнери"", безпартійний, проживає в селі Святопетрівське Києво-Святошинського району Київської області, судимість відсутня, суб’єкт висування – Політична партія ""Європейська Солідарність"".",Одномандатний виборчий округ №95,-, ,24.06.2019,"Політична партія ""Європейська Солідарність""",Київська область
1230,ЯстремськийМаксим Леонідович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=20283pd410f01=27.doc,"народився 6 листопада 1982 року в місті Харкові, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член Політичної Партії ""Піратська Партія України"", проживає в місті Харкові, судимість відсутня, суб’єкт висування – Політична Партія ""Піратська Партія України"".",Одномандатний виборчий округ №95,-, ,24.06.2019,"Політична Партія ""Піратська Партія України""",Київська область
1231,БарановВіталій Анатолійович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17438pd410f01=27.doc,"народився 10 квiтня 1967 року в місті Коростишів Житомирської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, помічник голови, ГО ""Товариство сприяння обороні України"", безпартійний, проживає в місті Вишгород Вишгородського району Київської області, судимість відсутня, самовисування.",Одномандатний виборчий округ №96,-, ,21.06.2019,Самовисування,Київська область
1232,БовсуновськийОлександр Михайлович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=18766pd410f01=27.doc,"народився 23 жовтня 1970 року в місті Києві, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, Центр по роботі з дітьми та молоддю, безпартійний, проживає в місті Києві, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА"".",Одномандатний виборчий округ №96,-, ,24.06.2019,"ПОЛІТИЧНА ПАРТІЯ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА""",Київська область
1233,БражніковаТетяна Олексіївна,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=18694pd410f01=27.doc,"народилася 1 квiтня 1981 року в місті Вишгород Київської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, секретар, Вишгородська міська рада Київської області, член Політичної партії ""Об’єднання ""САМОПОМІЧ"", проживає в місті Вишгород Вишгородського району Київської області, судимість відсутня, суб’єкт висування – Політична партія ""Об’єднання ""САМОПОМІЧ"".",Одномандатний виборчий округ №96,-, ,22.06.2019,"Політична партія ""Об’єднання ""САМОПОМІЧ""",Київська область
1234,БуковськийРоман Володимирович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=18888pd410f01=27.doc,"народився 19 лютого 1979 року в селі Івангород Ічнянського району Чернігівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в місті Вишгород Вишгородського району Київської області, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".",Одномандатний виборчий округ №96,-, ,24.06.2019,"політична партія Всеукраїнське об’єднання ""Батьківщина""",Київська область
1235,Василевська-СмаглюкОльга Михайлівна,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=20981pd410f01=27.doc,"народилася 23 червня 1985 року в місті Старокостянтинів Хмельницької області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, спеціальний кореспондент, ТОВ ""ТРК ""Студія 1+1"", безпартійнa, проживає в місті Києві, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"".",Одномандатний виборчий округ №96,-, ,25.06.2019,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",Київська область
1236,ВащукРоман Сергійович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21593pd410f01=27.doc,"народився 15 червня 1983 року в селі Годомичі Маневицького району Волинської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, директор, ТОВ ""ВР Консалтинг"", член Аграрної партії України, проживає в селі Годомичі Маневицького району Волинської області, судимість відсутня, суб’єкт висування – Аграрна партія України.",Одномандатний виборчий округ №96,-, ,25.06.2019,Аграрна партія України,Київська область
1237,ВерещинськаВероніка Вікторівна,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19980pd410f01=27.doc,"народилася 13 вересня 1980 року в селищі Бабинці Бородянського району Київської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, менеджер, ТОВ ""ОСВ-2"", безпартійнa, проживає в селищі Бабинці Бородянського району Київської області, судимість відсутня, самовисування.",Одномандатний виборчий округ №96,-, ,25.06.2019,Самовисування,Київська область
1238,ВойналовичЛюдмила Миколаївна,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=18879pd410f01=27.doc,"народилася 4 червня 1978 року в місті Києві, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, член Політичної партії ""Європейська Солідарність"", проживає в місті Буча Київської області, судимість відсутня, суб’єкт висування – Політична партія ""Європейська Солідарність"".",Одномандатний виборчий округ №96,-, ,24.06.2019,"Політична партія ""Європейська Солідарність""",Київська область
1239,ГорельцевАндрій Володимирович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15197pd410f01=27.doc,"народився 11 травня 1979 року в селищі Першотравневе Овруцького району Житомирської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, Перший заступник Голови Правління, Страхова компанія ""БРОКБІЗНЕС"", безпартійний, проживає в селі Пилиповичі Бородянського району Київської області, судимість відсутня, самовисування.",Одномандатний виборчий округ №96,-, ,07.06.2019,Самовисування,Київська область
1240,ЗамідраСергій Володимирович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17031pd410f01=27.doc,"народився 12 серпня 1978 року в селі Каленики Золотоніського району Черкаської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, Немішаївський селищний голова, безпартійний, проживає в смт Немішаєве Бородянського району Київської області, судимість відсутня, суб’єкт висування – Політична Партія ""ГОЛОС"".",Одномандатний виборчий округ №96,-, ,19.06.2019,"Політична Партія ""ГОЛОС""",Київська область
1241,МаніяРамаза Валерійович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=16940pd410f01=27.doc,"народився 25 вересня 1984 року в селі Ачигвара, Грузія, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член політичної партії ""Громадянська позиція"", проживає в селі Воропаїв Вишгородського району Київської області, судимість відсутня, суб’єкт висування – політична партія ""Громадянська позиція"".",Одномандатний виборчий округ №96,-, ,19.06.2019,"політична партія ""Громадянська позиція""",Київська область
1242,МоскаленкоЯрослав Миколайович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17146pd410f01=27.doc,"народився 28 квiтня 1975 року в селі Лютіж Вишгородського району Київської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійний, проживає в селі Осещина Вишгородського району Київської області, судимість відсутня, самовисування.",Одномандатний виборчий округ №96,-, ,19.06.2019,Самовисування,Київська область
1243,НауменкоСергій Миколайович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21466pd410f01=27.doc,"народився 25 березня 1983 року в місті Києві, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в місті Києві, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНИЙ БЛОК"".",Одномандатний виборчий округ №96,-, ,25.06.2019,"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""",Київська область
1244,ОкоєвІван Миколайович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17562pd410f01=27.doc,"народився 12 липня 1991 року в селі Самолусківці Гусятинського району Тернопільської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, діловод, батальйон оперативного призначення імені Героя України генерал-майора Сергія Кульчицького Національної гвардії України, безпартійний, проживає в місті Буча Київської області, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Свобода"".",Одномандатний виборчий округ №96,-, ,22.06.2019,"політична партія Всеукраїнське об’єднання ""Свобода""",Київська область
1245,ОлексюкВасиль Павлович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15720pd410f01=27.doc,"народився 22 травня 1974 року в селищі Буча Київської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, секретар, Бучанська міська рада, безпартійний, проживає в місті Буча Київської області, судимість відсутня, самовисування.",Одномандатний виборчий округ №96,-, ,18.06.2019,Самовисування,Київська область
1246,ПірськийРуслан Олександрович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19545pd410f01=27.doc,"народився 12 травня 1975 року в селі Катюжанка Вишгородського району Київської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, член Політичної партії ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"", проживає в селі Катюжанка Вишгородського району Київської області, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"".",Одномандатний виборчий округ №96,-, ,24.06.2019,"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",Київська область
1247,СоловйоваЮлія Олександрівна,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21130pd410f01=27.doc,"народилася 20 грудня 1982 року в селі Пужайкове Балтського району Одеської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, помічник-консультант народного депутата України, член ПОЛІТИЧНОЇ ПАРТІЇ ""ГРОМАДСЬКО-ПОЛІТИЧНА ПЛАТФОРМА НАДІЇ САВЧЕНКО"", проживає в селі Сербка Лиманського району Одеської області, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКО-ПОЛІТИЧНА ПЛАТФОРМА НАДІЇ САВЧЕНКО"".",Одномандатний виборчий округ №96,-, ,24.06.2019,"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКО-ПОЛІТИЧНА ПЛАТФОРМА НАДІЇ САВЧЕНКО""",Київська область
1248,ТаможнійОлександр Васильович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=20473pd410f01=27.doc,"народився 27 квiтня 1975 року в місті Буча Київської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник директора з юридичних питань, ТОВ ""АГРОДАР Україна +"", безпартійний, проживає в місті Буча Київської області, судимість відсутня, самовисування.",Одномандатний виборчий округ №96,-, ,23.06.2019,Самовисування,Київська область
1249,ФедорченкоСергій Миколайович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19930pd410f01=27.doc,"народився 30 листопада 1974 року в селищі Ємельяново Красноярського краю, Російська Федерація, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, головний спеціаліст відділу аналітичної роботи управління аналітичного забезпечення Київського міського голови, апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації), безпартійний, проживає в місті Києві, судимість відсутня, суб’єкт висування – Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"".",Одномандатний виборчий округ №96,-, ,23.06.2019,"Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",Київська область
1250,ЧепіжкоОксана Вікторівна,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17973pd410f01=27.doc,"народилася 25 листопада 1974 року в місті Сєверодвінськ Архангельської області, Російська Федерація, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""Компанія з управління активами ""Ексельсіор"", безпартійнa, проживає в місті Києві, судимість відсутня, самовисування.",Одномандатний виборчий округ №96,-, ,22.06.2019,Самовисування,Київська область
1251,ШальманТетяна Михайлівна,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19836pd410f01=27.doc,"народилася 11 серпня 1967 року в селі Паньківці Старосинявського району Хмельницької області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, доцент кафедри реклами та зв’язків з громадськістю, Інститут журналістики Київського національного університету імені Тараса Шевченка, безпартійнa, проживає в місті Ірпінь Київської області, судимість відсутня, самовисування.",Одномандатний виборчий округ №96,-, ,22.06.2019,Самовисування,Київська область
1252,ЮмаєвДмитро Фаїзович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21329pd410f01=27.doc,"народився 24 квiтня 1964 року в місті Сумах, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, член ПОЛІТИЧНОЇ ПАРТІЇ ""РАЗОМ СИЛА"", проживає в місті Українка Обухівського району Київської області, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""РАЗОМ СИЛА"".",Одномандатний виборчий округ №96,-, ,25.06.2019,"ПОЛІТИЧНА ПАРТІЯ ""РАЗОМ СИЛА""",Київська область
1253,АндрійчукІлля Олександрович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=20231pd410f01=27.doc,"народився 6 серпня 1995 року в місті Києві, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.",Одномандатний виборчий округ №97,-, ,23.06.2019,Самовисування,Київська область
1254,БойкоОлег Васильович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=20344pd410f01=27.doc,"народився 6 червня 1971 року в смт Баришівка Київської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, керівник, адвокатське об’єднання ""Кросондович Лойерс"", безпартійний, проживає в місті Києві, судимість відсутня, самовисування.",Одномандатний виборчий округ №97,-, ,25.06.2019,Самовисування,Київська область
1255,БульбаВладислав Васильович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21283pd410f01=27.doc,"народився 3 листопада 1979 року в місті Бровари Київської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в місті Бровари Київської області, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ"".",Одномандатний виборчий округ №97,-, ,25.06.2019,"ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ""",Київська область
1256,ГалицькийЮрій Сидорович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21472pd410f01=27.doc,"народився 8 березня 1971 року в місті Миколаєві, громадянин України, протягом останніх п’яти років проживає на території України, освіта професійно-технічна, директор, ТОВ ""ЕКО ЕНЕРГО ГРУП"", безпартійний, проживає в місті Києві, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНИЙ БЛОК"".",Одномандатний виборчий округ №97,-, ,25.06.2019,"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""",Київська область
1257,ГалушкоМикола Леонідович,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=20989pd410f01=27.doc,"народився 5 грудня 1979 року в смт Аргаяш Аргаяшського району Челябінської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ПП ""ГАЛІД"", безпартійний, проживає в місті Бровари Київської області, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"".",Одномандатний виборчий округ №97,-, ,25.06.2019,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",Київська область
